n_habitaciones,vivienda_ocupada,cuota_amortizacion,personas_hogar,ingresos_del_hogar,linea_indigencia,linea_pobreza
3,1,0,5,1000000.0,139369.155990852,334273.449152967
4,3,0,2,0.0,184190.344281399,453963.515171099
4,5,0,3,8870944.0,185075.004035692,453256.554942147
4,3,0,4,1691674.66666667,167327.467414866,375243.020004194
3,4,0,2,300000.0,139369.155990852,334273.449152967
3,3,0,5,300000.0,112520.083066084,200458.647693811
4,3,0,4,1746049.99479167,141684.35432522,301800.520542159
2,3,0,5,400000.0,139369.155990852,334273.449152967
1,3,0,1,33333.3333333333,177562.324972078,457187.521903917
3,1,0,1,877803.0,138086.674698833,388316.802617791
4,3,0,7,3061719.49479167,151186.420653179,357105.881498328
2,5,0,2,410000.0,150246.853321674,337444.261178949
4,3,0,2,1500000.0,137693.003814259,390419.39639144
3,1,0,2,250000.0,157558.011410042,343050.572930625
3,1,0,3,1100657.0,154068.476616703,407306.718585576
3,3,0,7,1920000.0,154585.258089845,339894.856621318
4,4,0,9,676666.666666667,137622.117717939,325875.195287149
3,3,0,3,2068866.66666667,151186.420653179,357105.881498328
1,4,0,5,808475.005208333,112520.083066084,200458.647693811
3,3,0,3,3120000.0,142525.1388659,331271.668541841
4,2,800000,1,1424600.0,148999.945948727,415963.695184019
3,1,0,2,2755453.0,177562.324972078,457187.521903917
3,3,0,2,813333.333007813,159695.59603043,400600.34626244
3,4,0,3,2293666.66666667,179690.795766288,443732.433269332
3,4,0,3,688229.171875,112268.154159301,199196.298389094
4,3,0,5,531250.0,144355.874332395,365872.077460296
4,3,0,6,2014413.328125,137693.003814259,390419.39639144
3,2,370000,3,4400000.0,141684.35432522,301800.520542159
5,3,0,5,6400000.0,154585.258089845,339894.856621318
4,1,0,2,0.0,152262.678742502,364247.505941145
3,3,0,5,250000.0,139018.073294894,289505.830514016
3,2,98,2,80241.6640625,147809.416898857,382088.920349839
3,5,0,4,492566.671875,112268.154159301,199196.298389094
4,1,0,6,321037.5,170270.139676742,408351.189676364
3,1,0,4,500000.0,147809.416898857,382088.920349839
3,3,0,3,0.0,154192.926546226,380037.222684353
5,1,0,4,2255000.0,139366.571799377,303540.256647031
3,3,0,4,4458333.33333333,179690.795766288,443732.433269332
4,1,0,3,0.0,142525.1388659,331271.668541841
2,4,0,3,750000.0,142960.929314099,356146.977665876
5,1,0,5,2795513.33333333,112268.154159301,199196.298389094
4,1,0,3,1200000.0,177562.324972078,457187.521903917
3,1,0,2,313333.333007813,185075.004035692,453256.554942147
3,1,0,3,420000.0,150246.853321674,337444.261178949
2,3,0,5,1150000.0,133876.630809683,329811.952328781
2,3,0,4,420000.0,141127.220613612,326276.611615161
2,4,0,3,240000.0,112268.154159301,199196.298389094
4,1,0,3,643158.338541667,112520.083066084,200458.647693811
1,3,0,1,877803.0,179658.525508701,452860.476815488
3,3,0,6,1256895.828125,160795.6231827,345702.486229079
